,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Views,Likes,Comments,Stream
count,19549.0,19549.0,19549.0,19549.0,19549.0,19549.0,19549.0,19549.0,19549.0,19549.0,19549.0,19549.0,19549.0,19549.0,19549.0
mean,0.6210592664586424,0.6351700104506625,5.294337306256074,0.8186771824200711,0.09539219397411633,0.2891060135638652,0.055292229569798956,0.19122648728835237,0.5289502588367692,120.60570233771548,224628.12962299862,95456263.74060054,670048.7094992071,27863.705713847256,137110145.14113253
std,0.1654887498060021,0.2135545183777367,3.579338309631675,0.09791692606933743,0.1062432936120114,0.28590846009175,0.19251889072892342,0.16519712222979863,0.24522804720986086,29.619340087624604,126912.55870216803,277574445.25386256,1805054.4114389087,195907.41163589986,246358913.47718838
min,0.0,2.03e-05,0.0,0.0,0.0,1.11e-06,0.0,0.0145,0.0,0.0,30985.0,26.0,0.0,0.0,6574.0
5%,0.319,0.22,0.0,0.6482118250620084,0.0278,0.0016140000000000009,0.0,0.0584,0.119,78.4356,134267.0,54760.4,834.0,11.0,2651398.4000000004
50%,0.639,0.666,5.0,0.8423607725085327,0.0507,0.19,2.33e-06,0.125,0.536,119.964,213253.0,14914399.0,127909.0,3343.0,49791393.0
95%,0.862,0.929,11.0,0.9127472387695829,0.31959999999999855,0.8855999999999985,0.5753999999999941,0.551,0.92,174.79959999999997,334213.1999999999,439854989.19999933,3041080.599999988,102001.59999999996,584448850.7999997
max,0.975,1.0,11.0,1.0,0.964,0.996,1.0,1.0,0.993,243.372,4676058.0,8079649362.0,50788652.0,16083138.0,3386520288.0
